route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SAT.,0.7382,UTA
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SUN.,0.7896,UTA
36,036,36 - BANKSVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6089,UTA
38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6091,UTA
38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SAT.,0.7562,UTA
38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SUN.,0.6667,UTA
39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,WEEKDAY,0.763,UTA
39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,SAT.,0.708,UTA
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7754,UTA
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SAT.,0.7788,UTA
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SUN.,0.7109,UTA
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6871,UTA
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,0.8469,UTA
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SUN.,0.5709,UTA
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6667,UTA
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,0.5645,UTA
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SUN.,0.6174,UTA
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7661,UTA
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SAT.,0.7324,UTA
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SUN.,0.7977,UTA
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7288,UTA
