STOP_ID;sensor_ID;geometry
W08093;21680@1;LINESTRING (-80.04269900000001 40.42461299336369, -80.04111369999998 40.42358497336327)
N71216;157@1;LINESTRING (-80.01942800000002 40.44754099337458, -80.01388126000001 40.45204478337673)
E17288;27472@1;LINESTRING (-79.885869 40.4374439933698, -79.88528305 40.44196686337193)
P00940;8053@1;LINESTRING (-80.000236 40.44294199337242, -80.00114740999999 40.44103899337151)
P70027;8053@1;LINESTRING (-80.001231 40.44214699337201, -80.00114740999999 40.44103899337151)
W19558;21680@1;LINESTRING (-80.04095799999997 40.42354999336324, -80.04111369999998 40.42358497336327)
P02650;5285@1;LINESTRING (-80.00584999999998 40.44142699337166, -80.00485904999999 40.44134625337166)
E01360;19400@1;LINESTRING (-79.957855 40.44207699337199, -79.95728803 40.44131845337165)
S00180;27506@1;LINESTRING (-79.980435 40.42848699336557, -79.98216102000001 40.42776046336521)
E01730;19400@1;LINESTRING (-79.95644399999998 40.44326099337253, -79.95728803 40.44131845337165)
W19480;31194@1;LINESTRING (-80.16767 40.45332699337732, -80.17255799 40.45203212337667)
E41740;27434@1;LINESTRING (-79.93415199999998 40.4573029933792, -79.92877515000001 40.45275981337701)
N01935;14583@1;LINESTRING (-79.766177 40.56407599342949, -79.77746342 40.57350269343394)
E19650;27436@1;LINESTRING (-79.92361299999999 40.43812299337011, -79.92014566 40.44265309337226)
P01150;27771@1;LINESTRING (-79.99936899999999 40.43752099336987, -80.00059044 40.43848279337031)
P02865;8053@1;LINESTRING (-79.99927599999999 40.4435429933727, -80.00114740999999 40.44103899337151)
S16570;5484@2;LINESTRING (-80.00329499999998 40.43174799336715, -80.00286228 40.43156319336704)
E01410;8054@1;LINESTRING (-79.94235199999999 40.44746799337453, -79.94500005999998 40.44723338337442)
E56040;118@1;LINESTRING (-79.82346199999999 40.38762399334622, -79.82807411999998 40.38952786334718)
P00850;3923@1;LINESTRING (-79.996663 40.44283499337235, -79.99528544 40.44226041337205)
P00610;27771@1;LINESTRING (-79.998468 40.44004999337105, -80.00059044 40.43848279337031)
W26150;27838@1;LINESTRING (-80.06756 40.43595899336911, -80.0689857 40.43626763336921)
S08140;38779@1;LINESTRING (-79.988276 40.41418999335882, -79.98640495999999 40.41761039336045)
S42503;27561@1;LINESTRING (-80.005994 40.42104799336203, -80.00986265 40.42289135336294)
S08860;38779@1;LINESTRING (-79.988772 40.41320999335832, -79.98640495999999 40.41761039336045)
P01875;5987@2;LINESTRING (-80.001631 40.43703499336961, -80.0013685 40.4368056633695)
E19130;19400@1;LINESTRING (-79.957623 40.44093899337144, -79.95728803 40.44131845337165)
E19870;8054@1;LINESTRING (-79.94887299999999 40.4443789933731, -79.94500005999998 40.44723338337442)
E01010;27442@1;LINESTRING (-79.95484 40.44429899337303, -79.95407179999999 40.4438431333728)
E70217;27387@1;LINESTRING (-79.96048099999999 40.44646599337405, -79.96418982999998 40.44887075337524)
P02530;3923@1;LINESTRING (-79.99529200000001 40.44351399337265, -79.99528544 40.44226041337205)
E19210;19400@1;LINESTRING (-79.956097 40.44206199337199, -79.95728803 40.44131845337165)
E01420;8054@1;LINESTRING (-79.94267299999998 40.44728299337442, -79.94500005999998 40.44723338337442)
S70092;6105@1;LINESTRING (-79.94484699999998 40.34125899332431, -79.94638766999999 40.3482237033276)
P02800;27785@1;LINESTRING (-79.993645 40.44506099337344, -79.99435856999999 40.44626614337395)
E02050;19400@1;LINESTRING (-79.956461 40.44307899337246, -79.95728803 40.44131845337165)
N53500;14578@1;LINESTRING (-79.89394 40.48768499339354, -79.89138920999999 40.48667020339305)
E15720;8054@1;LINESTRING (-79.94875199999998 40.44453499337315, -79.94500005999998 40.44723338337442)
S00160;38779@1;LINESTRING (-79.986459 40.41791899336057, -79.98640495999999 40.41761039336045)
W26175;27645@1;LINESTRING (-80.066106 40.44372499337273, -80.06244564999999 40.44022234337111)
E13385;27399@1;LINESTRING (-79.980605 40.44329599337254, -79.98497465999999 40.43943031337075)
E30570;31986@1;LINESTRING (-79.72181699999999 40.42806399336537, -79.72478327 40.42647899336461)
S09200;38779@1;LINESTRING (-79.98706999999997 40.41599999335967, -79.98640495999999 40.41761039336045)
E30310;31986@1;LINESTRING (-79.72144899999999 40.42787499336529, -79.72478327 40.42647899336461)
TP0460;26004@1;LINESTRING (-79.88722899999999 40.4452739933735, -79.88981764 40.44536785337353)
S16540;5484@2;LINESTRING (-80.00325199999999 40.43182599336715, -80.00286228 40.43156319336704)
E15620;8054@1;LINESTRING (-79.94915899999999 40.44706299337437, -79.94500005999998 40.44723338337442)
P00585;27772@1;LINESTRING (-79.99574899999999 40.43892299337053, -79.99674324999998 40.43714394336966)
S70020;27506@1;LINESTRING (-79.980749 40.42789999336527, -79.98216102000001 40.42776046336521)
S19380;25094@1;LINESTRING (-79.908417 40.41149499335754, -79.90463025999999 40.40894459335632)
N53540;14578@1;LINESTRING (-79.89384100000001 40.48766899339348, -79.89138920999999 40.48667020339305)
S08720;38779@1;LINESTRING (-79.990269 40.41046599335704, -79.98640495999999 40.41761039336045)
E70450;19116@2;LINESTRING (-79.79678399999999 40.42862699336563, -79.80200069999999 40.43198195336723)
N38480;24434@1;LINESTRING (-80.00673499999998 40.45527699337821, -80.00824579999998 40.44812303337483)
S70138;27559@1;LINESTRING (-79.968552 40.42740399336503, -79.96684881 40.42285580336293)
W70118;137@2;LINESTRING (-80.090887 40.40537799335465, -80.08728553 40.40844049335613)
E39908;19116@2;LINESTRING (-79.79213399999999 40.427326993365, -79.80200069999999 40.43198195336723)
E19320;8054@1;LINESTRING (-79.948475 40.44454699337314, -79.94500005999998 40.44723338337442)
P02600;3923@1;LINESTRING (-79.99805799999999 40.44281199337234, -79.99528544 40.44226041337205)
E42350;118@1;LINESTRING (-79.82337 40.38806799334643, -79.82807411999998 40.38952786334718)
N26800;11553@1;LINESTRING (-80.03053100000001 40.50660999340244, -80.02967068 40.50781390340299)
E01050;5989@1;LINESTRING (-79.96168900000001 40.4395249933708, -79.96408540999998 40.4363989233693)
E41330;3677@2;LINESTRING (-79.92305999999999 40.43220899336732, -79.92597432999999 40.42804634336542)
S08700;38779@1;LINESTRING (-79.99028399999999 40.41079099335723, -79.98640495999999 40.41761039336045)
E01650;8055@1;LINESTRING (-79.920671 40.45295199337716, -79.91667276999999 40.45343136337732)
E01210;19400@1;LINESTRING (-79.95984799999998 40.44063399337133, -79.95728803 40.44131845337165)
